D50,lon,lat
31.49123955,7.896412126,45.1828732960
31.49123955,7.896412126,45.1827833790
32.13460159,7.896284958,45.1826934620
36.28704834,7.920828566,45.1820640430
37.22449493,7.918539525,45.1819741260
37.22449493,7.918539525,45.1818842090
27.58762360,7.921591580,45.1818842090
26.10457802,7.921718749,45.1818842090
26.49275589,7.921845918,45.1818842090
23.56938362,7.921973087,45.1818842090
23.48891640,7.922100256,45.1818842090
23.48891640,7.922227425,45.1818842090
26.99258041,7.922354594,45.1818842090
29.00870323,7.922481763,45.1818842090
30.76152802,7.922608932,45.1818842090
30.57261658,7.922736101,45.1818842090
37.24449921,7.918285187,45.1817942920
36.54599762,7.918412356,45.1817942920
37.76560974,7.918539525,45.1817942920
34.10416412,7.918666694,45.1817942920
34.10416412,7.918793863,45.1817942920
34.40011215,7.918921032,45.1817942920
38.44796753,7.919048201,45.1817942920
20.98496628,7.921845918,45.1817942920
22.85567665,7.921973087,45.1817942920
27.41864014,7.922100256,45.1817942920
27.41864014,7.922227425,45.1817942920
29.02087402,7.922354594,45.1817942920
24.40730858,7.922481763,45.1817942920
26.81304359,7.922608932,45.1817942920
31.98530579,7.881787696,45.1817043749
37.96640015,7.918030849,45.1817043749
36.12894821,7.918158018,45.1817043749
34.86354828,7.918285187,45.1817043749
36.29312134,7.918412356,45.1817043749
37.12857819,7.918539525,45.1817043749
40.13901520,7.917903680,45.1816144579
39.30524826,7.918030849,45.1816144579
40.47278214,7.917776511,45.1815245409
24.96662331,7.924262128,45.1813447069
24.96662331,7.924389297,45.1813447069
29.73733330,7.924516466,45.1813447069
30.48612976,7.924643635,45.1813447069
28.15183830,7.924770804,45.1813447069
26.96206093,7.924897973,45.1813447069
29.08540726,7.925025142,45.1813447069
33.78079987,7.925152311,45.1813447069
31.82844162,7.917903680,45.1812547899
33.71134186,7.918030849,45.1812547899
33.96158218,7.919302539,45.1812547899
35.15495300,7.919556877,45.1812547899
37.26575470,7.919684046,45.1812547899
37.26575470,7.919811215,45.1812547899
33.35776138,7.925279480,45.1812547899
31.82844162,7.917903680,45.1811648729
32.29338837,7.918030849,45.1811648729
31.30726051,7.918158018,45.1811648729
32.32954025,7.918285187,45.1811648729
30.99493217,7.918539525,45.1811648729
30.99493217,7.918666694,45.1811648729
31.24596977,7.918793863,45.1811648729
31.12547112,7.918921032,45.1811648729
31.03468704,7.919048201,45.1811648729
31.61158943,7.919175370,45.1811648729
31.82181931,7.919302539,45.1811648729
30.45507050,7.919429708,45.1811648729
30.64038849,7.919556877,45.1811648729
32.09703064,7.919684046,45.1811648729
32.09703064,7.919811215,45.1811648729
30.62853241,7.919938384,45.1811648729
29.79294968,7.920065553,45.1811648729
31.43429565,7.920192722,45.1811648729
33.76658630,7.920319891,45.1811648729
34.36296844,7.920447060,45.1811648729
34.65684891,7.920574229,45.1811648729
36.61073685,7.921718749,45.1811648729
35.81478882,7.921845918,45.1811648729
34.88337326,7.921973087,45.1811648729
34.88337326,7.922100256,45.1811648729
32.70798874,7.922227425,45.1811648729
34.35250092,7.922354594,45.1811648729
34.23142242,7.922481763,45.1811648729
33.26367950,7.922608932,45.1811648729
35.24278641,7.922736101,45.1811648729
36.26158142,7.922863270,45.1811648729
38.75280762,7.922990439,45.1811648729
29.35014343,7.871487011,45.1810749559
35.21044922,7.917013498,45.1810749559
28.66161156,7.917903680,45.1810749559
32.29338837,7.918030849,45.1810749559
31.30726051,7.918158018,45.1810749559
32.32954025,7.918285187,45.1810749559
30.99493217,7.918539525,45.1810749559
30.99493217,7.918666694,45.1810749559
31.24596977,7.918793863,45.1810749559
31.12547112,7.918921032,45.1810749559
31.03468704,7.919048201,45.1810749559
31.61158943,7.919175370,45.1810749559
29.72990799,7.919302539,45.1810749559
28.46781349,7.919429708,45.1810749559
27.65955925,7.919556877,45.1810749559
29.77681351,7.919684046,45.1810749559
29.77681351,7.919811215,45.1810749559
28.63876534,7.919938384,45.1810749559
29.95169640,7.920065553,45.1810749559
31.50816154,7.920192722,45.1810749559
32.37805557,7.920319891,45.1810749559
33.10630417,7.920447060,45.1810749559
34.79299164,7.921210073,45.1810749559
36.93399048,7.921337242,45.1810749559
37.03119659,7.921464411,45.1810749559
34.39207458,7.921591580,45.1810749559
35.67301559,7.921845918,45.1810749559
33.20231247,7.921973087,45.1810749559
33.20231247,7.922100256,45.1810749559
35.72072220,7.922227425,45.1810749559
31.51164627,7.922354594,45.1810749559
34.78414917,7.922481763,45.1810749559
35.34983444,7.922608932,45.1810749559
34.73778152,7.922736101,45.1810749559
36.49022675,7.922863270,45.1810749559
32.59735870,7.917013498,45.1809850389
26.33630562,7.917903680,45.1809850389
31.20791817,7.918030849,45.1809850389
32.46388626,7.918158018,45.1809850389
32.02315140,7.918285187,45.1809850389
30.36666870,7.918412356,45.1809850389
29.30806923,7.918539525,45.1809850389
29.30806923,7.918666694,45.1809850389
29.35451317,7.918793863,45.1809850389
29.92744827,7.918921032,45.1809850389
30.08075333,7.919048201,45.1809850389
31.01474953,7.919175370,45.1809850389
29.72990799,7.919302539,45.1809850389
28.46781349,7.919429708,45.1809850389
27.65955925,7.919556877,45.1809850389
29.77681351,7.919684046,45.1809850389
29.77681351,7.919811215,45.1809850389
28.63876534,7.919938384,45.1809850389
29.95169640,7.920065553,45.1809850389
31.50816154,7.920192722,45.1809850389
32.37805557,7.920319891,45.1809850389
31.58214951,7.920447060,45.1809850389
33.24774551,7.921082904,45.1809850389
32.64866638,7.921210073,45.1809850389
32.36116409,7.921337242,45.1809850389
33.53868866,7.921464411,45.1809850389
35.10804749,7.921591580,45.1809850389
23.63246727,7.921973087,45.1809850389
23.63246727,7.922100256,45.1809850389
29.55107307,7.922227425,45.1809850389
29.43069458,7.922354594,45.1809850389
30.68353081,7.922481763,45.1809850389
34.60843658,7.922608932,45.1809850389
34.86656952,7.922736101,45.1809850389
29.10966873,7.916886329,45.1808951219
27.69905853,7.917649343,45.1808951219
27.46809387,7.917776511,45.1808951219
30.15298462,7.917903680,45.1808951219
30.19077682,7.918030849,45.1808951219
30.98524284,7.918158018,45.1808951219
26.98512268,7.918285187,45.1808951219
28.52091408,7.918412356,45.1808951219
27.22014046,7.918539525,45.1808951219
27.22014046,7.918666694,45.1808951219
25.43028641,7.918793863,45.1808951219
24.96842194,7.918921032,45.1808951219
21.97949028,7.919048201,45.1808951219
23.78796577,7.919175370,45.1808951219
21.45818901,7.919302539,45.1808951219
21.65468025,7.919684046,45.1808951219
21.65468025,7.919811215,45.1808951219
25.86315536,7.919938384,45.1808951219
30.60702705,7.920065553,45.1808951219
29.89990044,7.920192722,45.1808951219
32.68710709,7.920319891,45.1808951219
31.58214951,7.920447060,45.1808951219
33.24774551,7.921082904,45.1808951219
32.64866638,7.921210073,45.1808951219
32.36116409,7.921337242,45.1808951219
33.53868866,7.921464411,45.1808951219
33.87110901,7.921591580,45.1808951219
25.63195229,7.921973087,45.1808951219
25.63195229,7.922100256,45.1808951219
27.44700623,7.922227425,45.1808951219
29.44627953,7.922354594,45.1808951219
28.88326645,7.922481763,45.1808951219
30.10342979,7.922608932,45.1808951219
28.71282005,7.922736101,45.1808951219
28.47749519,7.916886329,45.1808052049
30.81240273,7.917013498,45.1808052049
25.39680099,7.917140667,45.1808052049
27.07947159,7.917267836,45.1808052049
27.07947159,7.917395005,45.1808052049
26.98849487,7.917522174,45.1808052049
28.47980881,7.917649343,45.1808052049
29.02553749,7.917776511,45.1808052049
29.39923286,7.917903680,45.1808052049
28.00527763,7.918030849,45.1808052049
30.53532410,7.918158018,45.1808052049
25.63297272,7.918285187,45.1808052049
26.44694138,7.918412356,45.1808052049
26.44694138,7.918539525,45.1808052049
24.21476936,7.918666694,45.1808052049
24.29114532,7.918793863,45.1808052049
25.89219475,7.918921032,45.1808052049
31.37073517,7.920065553,45.1808052049
29.97466469,7.920319891,45.1808052049
32.02314377,7.920828566,45.1808052049
32.02314377,7.920955735,45.1808052049
31.88261604,7.921082904,45.1808052049
31.56519127,7.921210073,45.1808052049
31.99466515,7.921337242,45.1808052049
31.80000114,7.921464411,45.1808052049
33.87110901,7.921591580,45.1808052049
25.63195229,7.921973087,45.1808052049
25.63195229,7.922100256,45.1808052049
27.44700623,7.922227425,45.1808052049
29.44627953,7.922354594,45.1808052049
28.88326645,7.922481763,45.1808052049
30.10342979,7.922608932,45.1808052049
28.71282005,7.922736101,45.1808052049
31.11679459,7.916759160,45.1807152879
31.82914162,7.916886329,45.1807152879
27.59233665,7.917013498,45.1807152879
27.62773132,7.917140667,45.1807152879
28.47808838,7.917267836,45.1807152879
28.47808838,7.917395005,45.1807152879
26.78082848,7.917522174,45.1807152879
26.74909973,7.917649343,45.1807152879
28.14045715,7.917776511,45.1807152879
28.45269012,7.917903680,45.1807152879
24.68214798,7.918030849,45.1807152879
25.17323494,7.918158018,45.1807152879
20.52839088,7.918412356,45.1807152879
20.52839088,7.918539525,45.1807152879
34.08283997,7.921337242,45.1807152879
32.58222580,7.921464411,45.1807152879
34.10217667,7.921591580,45.1807152879
22.21699905,7.921718749,45.1807152879
27.07084274,7.921845918,45.1807152879
28.04513168,7.921973087,45.1807152879
28.04513168,7.922100256,45.1807152879
28.75317574,7.922227425,45.1807152879
30.43578529,7.922354594,45.1807152879
31.54564667,7.922481763,45.1807152879
33.35890579,7.922608932,45.1807152879
32.96459579,7.922736101,45.1807152879
35.62684631,7.915614639,45.1806253709
30.16062546,7.916759160,45.1806253709
30.07769966,7.916886329,45.1806253709
27.80121803,7.917013498,45.1806253709
29.41950989,7.917140667,45.1806253709
27.66664124,7.917267836,45.1806253709
27.66664124,7.917395005,45.1806253709
26.49564362,7.917522174,45.1806253709
25.68222618,7.917649343,45.1806253709
27.25988770,7.917776511,45.1806253709
25.13259506,7.917903680,45.1806253709
22.82387733,7.918030849,45.1806253709
33.53024292,7.921337242,45.1806253709
32.56549835,7.921464411,45.1806253709
32.48678589,7.921591580,45.1806253709
27.25137329,7.921718749,45.1806253709
29.00300789,7.921845918,45.1806253709
29.00300789,7.921973087,45.1806253709
27.28598976,7.922100256,45.1806253709
28.10509682,7.922227425,45.1806253709
28.78142166,7.922354594,45.1806253709
30.17018127,7.922481763,45.1806253709
29.96250153,7.922608932,45.1806253709
32.36594009,7.922736101,45.1806253709
35.62684631,7.915614639,45.1805354538
31.82966805,7.916631991,45.1805354538
31.73021889,7.916759160,45.1805354538
29.52755737,7.916886329,45.1805354538
28.15617180,7.917013498,45.1805354538
27.75961494,7.917140667,45.1805354538
23.48511124,7.917267836,45.1805354538
23.48511124,7.917395005,45.1805354538
21.24224472,7.917522174,45.1805354538
21.68990707,7.917649343,45.1805354538
20.93200874,7.917776511,45.1805354538
25.40201187,7.918412356,45.1805354538
25.40201187,7.918539525,45.1805354538
26.11844444,7.918666694,45.1805354538
29.92454529,7.918793863,45.1805354538
29.11985207,7.918921032,45.1805354538
33.55710983,7.919938384,45.1805354538
30.86846542,7.920065553,45.1805354538
30.23422241,7.920955735,45.1805354538
33.67310333,7.921082904,45.1805354538
33.98071289,7.921210073,45.1805354538
30.55881882,7.921337242,45.1805354538
30.01412964,7.921464411,45.1805354538
28.61652374,7.921591580,45.1805354538
28.14750862,7.921718749,45.1805354538
29.81622887,7.921845918,45.1805354538
29.81622887,7.921973087,45.1805354538
31.90102768,7.922100256,45.1805354538
32.94421387,7.922227425,45.1805354538
27.05184746,7.922354594,45.1805354538
29.63785553,7.922608932,45.1805354538
28.64464569,7.922736101,45.1805354538
32.12015152,7.875302079,45.1804455368
32.42493820,7.875429248,45.1804455368
32.33647156,7.875556417,45.1804455368
37.60939789,7.915487470,45.1804455368
36.17631531,7.915614639,45.1804455368
31.82966805,7.916631991,45.1804455368
31.73021889,7.916759160,45.1804455368
29.62416267,7.916886329,45.1804455368
25.91784477,7.917013498,45.1804455368
24.93033028,7.917140667,45.1804455368
20.60532379,7.917267836,45.1804455368
20.60532379,7.917395005,45.1804455368
20.04958725,7.917522174,45.1804455368
20.61547470,7.917649343,45.1804455368
30.22740364,7.918412356,45.1804455368
30.22740364,7.918539525,45.1804455368
29.58700562,7.918666694,45.1804455368
32.99217224,7.918793863,45.1804455368
33.05382919,7.918921032,45.1804455368
33.68016434,7.919048201,45.1804455368
30.49872780,7.919175370,45.1804455368
28.57985115,7.919302539,45.1804455368
31.05976677,7.919429708,45.1804455368
30.68146133,7.919556877,45.1804455368
30.68146133,7.919684046,45.1804455368
35.59436035,7.919811215,45.1804455368
34.66675949,7.919938384,45.1804455368
31.65219879,7.920065553,45.1804455368
27.89785385,7.920192722,45.1804455368
34.10439682,7.920447060,45.1804455368
30.15967751,7.920574229,45.1804455368
32.24316788,7.920701398,45.1804455368
32.24316788,7.920828566,45.1804455368
33.98461151,7.920955735,45.1804455368
32.98533630,7.921082904,45.1804455368
33.05982208,7.921210073,45.1804455368
31.15215683,7.921337242,45.1804455368
28.80511475,7.921464411,45.1804455368
27.89429665,7.921591580,45.1804455368
29.64783096,7.921718749,45.1804455368
28.12259293,7.921845918,45.1804455368
28.12259293,7.921973087,45.1804455368
29.66980553,7.922100256,45.1804455368
33.55797577,7.922227425,45.1804455368
27.90964127,7.922354594,45.1804455368
25.57777786,7.922481763,45.1804455368
27.77443695,7.922608932,45.1804455368
24.88784027,7.922736101,45.1804455368
32.12015152,7.875302079,45.1803556198
32.42493820,7.875429248,45.1803556198
32.33647156,7.875556417,45.1803556198
32.33647156,7.875683586,45.1803556198
37.22417831,7.915487470,45.1803556198
34.38190079,7.915614639,45.1803556198
32.75912094,7.916504822,45.1803556198
33.19190979,7.916631991,45.1803556198
32.11651993,7.916759160,45.1803556198
29.62416267,7.916886329,45.1803556198
25.91784477,7.917013498,45.1803556198
24.93033028,7.917140667,45.1803556198
20.60532379,7.917267836,45.1803556198
20.60532379,7.917395005,45.1803556198
20.04958725,7.917522174,45.1803556198
20.61547470,7.917649343,45.1803556198
27.83877945,7.918030849,45.1803556198
28.41583443,7.918158018,45.1803556198
30.63675308,7.918285187,45.1803556198
30.78336906,7.918412356,45.1803556198
30.78336906,7.918539525,45.1803556198
30.35631561,7.918666694,45.1803556198
31.85618210,7.918793863,45.1803556198
32.25923920,7.918921032,45.1803556198
33.87107468,7.919048201,45.1803556198
34.13491440,7.919175370,45.1803556198
33.27132416,7.919302539,45.1803556198
31.85588074,7.919429708,45.1803556198
33.09503937,7.919556877,45.1803556198
33.09503937,7.919684046,45.1803556198
33.70480347,7.919811215,45.1803556198
31.31773186,7.919938384,45.1803556198
30.28351974,7.920065553,45.1803556198
30.86037064,7.920192722,45.1803556198
32.59606171,7.920319891,45.1803556198
33.87200546,7.920447060,45.1803556198
29.32793999,7.920574229,45.1803556198
30.80447769,7.920701398,45.1803556198
30.80447769,7.920828566,45.1803556198
32.55798340,7.920955735,45.1803556198
33.74193954,7.921082904,45.1803556198
31.20571518,7.921210073,45.1803556198
28.08692932,7.921337242,45.1803556198
26.54000473,7.921464411,45.1803556198
27.29427147,7.921591580,45.1803556198
28.70851898,7.921718749,45.1803556198
29.07765198,7.921845918,45.1803556198
29.07765198,7.921973087,45.1803556198
28.13083839,7.922100256,45.1803556198
25.55884171,7.922227425,45.1803556198
24.26054192,7.922354594,45.1803556198
21.87954521,7.922481763,45.1803556198
33.43714523,7.875047741,45.1802657028
28.17249870,7.875174910,45.1802657028
28.80337715,7.875302079,45.1802657028
31.31351662,7.875429248,45.1802657028
31.95512962,7.875556417,45.1802657028
31.95512962,7.875683586,45.1802657028
33.23099518,7.915360301,45.1802657028
30.44777489,7.916377653,45.1802657028
32.97807312,7.916504822,45.1802657028
31.36693192,7.916631991,45.1802657028
27.71875000,7.916759160,45.1802657028
26.56290436,7.916886329,45.1802657028
21.03632545,7.917267836,45.1802657028
21.03632545,7.917395005,45.1802657028
21.13641739,7.917522174,45.1802657028
23.77381897,7.917649343,45.1802657028
23.92391396,7.917776511,45.1802657028
28.01428795,7.917903680,45.1802657028
27.83877945,7.918030849,45.1802657028
28.41583443,7.918158018,45.1802657028
30.63675308,7.918285187,45.1802657028
30.78336906,7.918412356,45.1802657028
30.78336906,7.918539525,45.1802657028
